,index,id,pos,category,stereotype,lemma,level,clean,stem
0,0,AR340,n,pr,no,امرأة من الشارع,conservative,امراه الشارع,مره شرع
1,1,AR374,n,cds,no,على راسه ريشه,inclusive,راسه ريشه,رسه ريش
2,2,AR1048,n,cds,no,ديماجوجي,conservative,ديماجوجي,ديماجوجي
3,3,AR70,n,om,no,لواطة,inclusive,لواطه,لطه
4,4,AR2743,n,dmc,yes,تشرد,inclusive,تشرد,شرد
5,5,AR1322,n,qas,no,فلاح,inclusive,فلاح,فلح
6,6,AR2310,n,an,no,دُودَة,inclusive,دوده,دود
7,7,AR36,n,pa,yes,عامل,inclusive,عامل,عمل
8,8,AR523,n,pr,no,ثيران,inclusive,ثيران,ثير
9,9,AR1210,n,ddf,yes,قزم,conservative,قزم,قزم
10,10,AR522,n,an,no,ماشية,inclusive,ماشيه,اشه
11,11,AR128,n,ddp,yes,امية,inclusive,اميه,امه
12,12,AR2594,n,an,no,إبن أوى,inclusive,ابن اوي,ابن اوي
13,13,AR164,n,an,no,بعديات,inclusive,بعديات,بعد
14,14,AR2656,a,svp,no,متعالي,conservative,متعالي,تعل
15,15,AR2344,n,or,no,بطاطا,inclusive,بطاطا,بطط
16,16,AR357,n,dmc,yes,زيف,inclusive,زيف,زيف
17,17,AR1126,n,dmc,yes,منافق,conservative,منافق,نفق
18,18,AR1922,n,ps,yes,قوط,inclusive,قوط,قوط
19,19,AR359,n,cds,no,كذب,conservative,كذب,كذب
20,20,AR1131,n,dmc,yes,رياء,conservative,رياء,ريء
21,21,AR522,n,pr,no,ماشية,inclusive,ماشيه,اشه
22,22,AR195,n,cds,no,غبي,inclusive,غبي,غبي
23,23,AR1958,n,qas,no,طفيليّات,inclusive,طفيليات,طفل
24,24,AR2123,n,pa,yes,راعي,inclusive,راعي,رعي
25,25,AR418,n,dmc,yes,جاني,inclusive,جاني,جني
26,26,AR2503,n,re,no,لصوص,inclusive,لصوص,لصص
27,27,AR418,n,cds,no,جاني,conservative,جاني,جني
28,28,AR1267,n,dmc,yes,شر,inclusive,شر,شر
29,29,AR359,n,qas,no,كذب,conservative,كذب,كذب
30,30,AR99,n,qas,no,فضلات,inclusive,فضلات,فضل
31,31,AR394,n,pa,yes,خادم,inclusive,خادم,خدم
32,32,AR2537,n,an,no,علجوم,inclusive,علجوم,علجوم
33,33,AR245,n,cds,no,مبغى,inclusive,مبغي,بغي
34,34,AR1636,n,cds,no,غطرسة,inclusive,غطرسه,غطرس
35,35,AR501,n,qas,no,متردد,conservative,مترد,ترد
36,36,AR518,n,pr,no,أبقار,inclusive,ابقار,بقر
37,37,AR2764,n,an,no,أفاعي,inclusive,افاعي,فعي
38,38,AR1066,n,pa,yes,متودد,inclusive,متود,تود
39,39,AR275,n,ps,yes,برابرة,conservative,برابره,ربر
40,40,AR611,n,svp,no,استعلاء,conservative,استعلاء,علء
41,41,AR1798,n,ddp,yes,تخلف,inclusive,تخلف,خلف
42,42,AR730,n,qas,no,رعاع,conservative,رعاع,رعع
43,43,AR233,n,svp,no,جشع,inclusive,جشع,جشع
44,44,AR1372,n,dmc,yes,أحمق,inclusive,احمق,حمق
45,45,AR195,n,an,no,غبي,conservative,غبي,غبي
46,46,AR2070,n,an,no,مكروبات,inclusive,مكروبات,كرب
47,47,AR524,n,pr,no,مواشي,inclusive,مواشي,وشي
48,48,AR983,n,an,no,تمساحيات,inclusive,تمساحيات,ساح
49,49,AR358,n,cds,no,باطل,inclusive,باطل,بطل
50,50,AR703,n,re,no,تشهير,inclusive,تشهير,شهر
51,51,AR272,n,ddp,yes,برابرة,conservative,برابره,ربر
52,52,AR329,n,ps,yes,مرقس,conservative,مرقس,رقس
53,53,AR2557,n,cds,no,متعالم,conservative,متعالم,عالم
54,54,AR502,n,qas,no,متخبط,conservative,متخبط,تخبط
55,55,AR445,n,qas,no,قطب,inclusive,قطب,قطب
56,56,AR239,n,svp,no,بخل,inclusive,بخل,بخل
57,57,AR692,n,cds,no,قميء,inclusive,قميء,قمء
58,58,AR1013,n,asf,no,كس,conservative,كس,كس
59,59,AR484,n,cds,no,يخطئ,inclusive,يخطء,خطء
60,60,AR806,n,qas,no,عوام,inclusive,عوام,عوم
61,61,AR1891,n,cds,no,نيرد,conservative,نيرد,يرد
62,62,AR2315,v,qas,no,خرب,conservative,خرب,خرب
63,63,AR1349,n,pa,yes,بائعة سمك,inclusive,باءعه سمك,بءع سمك
64,64,AR2727,n,an,no,خدع,conservative,خدع,خدع
65,65,AR656,n,ddp,yes,عان,inclusive,عان,عان
66,66,AR731,n,ddp,yes,عامة,conservative,عامه,عمه
67,67,AR156,n,ddp,yes,حيوان,inclusive,حيوان,حيو
68,68,AR1317,n,qas,no,فلاحون,inclusive,فلاحون,فلح
69,69,AR684,n,dmc,yes,منبوذون,inclusive,منبوذون,نبذ
70,70,AR1071,n,cds,no,خارج عن القانون,inclusive,خارج القانون,خرج قان
71,71,AR2496,n,re,no,اختطف,inclusive,اختطف,خطف
72,72,AR877,n,pa,yes,عريف,inclusive,عريف,عرف
73,73,AR1858,n,an,no,بعوضيات,inclusive,بعوضيات,بعض
74,74,AR2100,n,ddp,yes,غباء,inclusive,غباء,غبء
75,75,AR1784,n,svp,no,تحجر,conservative,تحجر,حجر
76,76,AR593,n,cds,no,أنانية,inclusive,انانيه,نني
77,77,AR1227,n,asm,no,فالوس,inclusive,فالوس,فلس
78,78,AR78,n,ddp,yes,شرج,conservative,شرج,شرج
79,79,AR2354,n,or,no,بطاطا,inclusive,بطاطا,بطط
80,80,AR53,n,ddp,yes,تخلف عقلي,inclusive,تخلف عقلي,خلف عقل
81,81,AR195,n,asm,no,غبي,conservative,غبي,غبي
82,82,AR480,n,qas,no,تخبط,inclusive,تخبط,خبط
83,83,AR2373,v,an,no,غضب,conservative,غضب,غضب
84,84,AR1315,n,qas,no,مزارع,inclusive,مزارع,زرع
85,85,AR607,n,cds,no,تعالي,conservative,تعالي,علي
86,86,AR274,n,ps,yes,غليظ,conservative,غليظ,غلظ
87,87,AR2125,n,pa,yes,راعي,inclusive,راعي,رعي
88,88,AR2742,n,pa,yes,سكاف,inclusive,سكاف,سكف
89,89,AR242,n,ddp,yes,تخلف,inclusive,تخلف,خلف
90,90,AR1758,n,cds,no,مراب,inclusive,مراب,راب
91,91,AR2570,n,an,no,صرصار,inclusive,صرصار,صرصار
92,92,AR1193,n,dmc,yes,جانح,conservative,جانح,جنح
93,93,AR720,n,dmc,yes,سارق,conservative,سارق,سرق
94,94,AR2565,n,an,no,علقيات,inclusive,علقيات,علق
95,95,AR1699,n,ddp,yes,جهل,conservative,جهل,جهل
96,96,AR491,n,cds,no,كريهة,inclusive,كريهه,كره
97,97,AR2406,n,an,no,قمليات,inclusive,قمليات,قمل
98,98,AR2183,n,ps,yes,سوداء,inclusive,سوداء,ودء
99,99,AR554,n,qas,no,فلاحين,inclusive,فلاحين,فلح
100,100,AR1184,n,svp,no,أكول,inclusive,اكول,اكل
101,101,AR2267,n,cds,no,ربا,conservative,ربا,ربا
102,102,AR2745,n,cds,no,فساد,conservative,فساد,فسد
103,103,AR1221,n,pa,yes,أجير,inclusive,اجير,اجر
104,104,AR789,n,an,no,عامية,conservative,عاميه,عمي
105,105,AR597,n,cds,no,تمادي,conservative,تمادي,مدي
106,106,AR1423,n,cds,no,فاشستية,conservative,فاشستيه,فشس
107,107,AR731,n,an,no,عامة,conservative,عامه,عمه
108,108,AR1479,n,cds,no,رجعيه,conservative,رجعيه,رجع
109,109,AR1046,n,dmc,yes,غش,conservative,غش,غش
110,110,AR354,n,an,no,مومس,conservative,مومس,ومس
111,111,AR678,n,cds,no,جيف,inclusive,جيف,جيف
112,112,AR728,n,ddp,yes,أوباش,conservative,اوباش,وبش
