,index,id,pos,category,stereotype,lemma,level,clean,stem
0,0,AR1499,n,an,no,الأوروبية الآسيوية غريفون,inclusive,الاوروبيه الاسيويه غريفون,ورب سيه غرف
1,1,AR1048,n,cds,no,ديماجوجي,conservative,ديماجوجي,ديماجوجي
2,2,AR70,n,om,no,اللواطة,inclusive,الواطه,وطه
3,3,AR2743,n,dmc,yes,تشرد,inclusive,تشرد,شرد
4,4,AR1322,n,qas,no,الفلاح,inclusive,الفلاح,فلح
5,5,AR2310,n,an,no,دُودَة,inclusive,دوده,دود
6,6,AR931,n,an,no,التنصت,inclusive,التنصت,تنص
7,9,AR948,n,an,no,مغناج,conservative,مغناج,غنج
8,10,AR1339,n,dmc,yes,أثر الرائحة الكريهة,conservative,اثر الراءحه الكريهه,اثر رءح كره
9,11,AR2567,n,cds,no,أتباع,conservative,اتباع,تبع
10,12,AR36,n,pa,yes,عامل,inclusive,عامل,عمل
11,13,AR255,n,qas,no,بيضة,inclusive,بيضه,بيض
12,14,AR1298,n,cds,no,عصبية,conservative,عصبيه,عصب
13,16,AR523,n,pr,no,ثيران,inclusive,ثيران,ثير
14,17,AR1210,n,ddf,yes,قزم,conservative,قزم,قزم
15,18,AR522,n,an,no,ماشية,inclusive,ماشيه,اشه
16,19,AR1948,n,qas,no,العدوى الذاتية,inclusive,العدوي الذاتيه,عدي ذتي
17,20,AR614,n,an,no,طور,inclusive,طور,طور
18,21,AR128,n,ddp,yes,امية,inclusive,اميه,امه
19,22,AR1244,n,dmc,yes,الأخلاق,inclusive,الاخلاق,خلق
20,23,AR830,n,pa,yes,أستاذ,inclusive,استاذ,ساذ
21,24,AR2594,n,an,no,إبن أوى,inclusive,ابن اوي,ابن اوي
22,25,AR164,n,an,no,بعديات,inclusive,بعديات,بعد
23,26,AR2656,a,svp,no,متعالي,conservative,متعالي,تعل
24,27,AR2344,n,or,no,البطاطا,inclusive,البطاطا,بطط
25,28,AR447,n,qas,no,القطب,inclusive,القطب,قطب
26,29,AR357,n,dmc,yes,والزيف,inclusive,والزيف,زيف
27,30,AR1126,n,dmc,yes,منافق,conservative,منافق,نفق
28,31,AR1922,n,ps,yes,القوط الشرقيون,inclusive,القوط الشرقيون,قوط شرق
29,33,AR359,n,cds,no,كذب,conservative,كذب,كذب
30,34,AR1131,n,dmc,yes,رياء,conservative,رياء,ريء
31,35,AR522,n,pr,no,ماشية,inclusive,ماشيه,اشه
32,36,AR699,n,ps,yes,استبدل,conservative,استبدل,بدل
33,37,AR2671,n,re,no,العملية الارهابية,conservative,العمليه الارهابيه,عمل رهب
34,38,AR195,n,cds,no,غبي,inclusive,غبي,غبي
35,40,AR2153,n,dmc,yes,نصف باينت,conservative,نصف باينت,نصف بين
36,41,AR1958,n,qas,no,الطفيليّات,inclusive,الطفيليات,طفل
37,42,AR2123,n,pa,yes,راعي,inclusive,راعي,رعي
38,43,AR1174,n,om,no,مجافي الفم,inclusive,مجافي الفم,جفي لفم
39,44,AR418,n,dmc,yes,جاني,inclusive,جاني,جني
40,45,AR114,n,asm,no,بزوغ,inclusive,بزوغ,بزغ
41,46,AR2503,n,re,no,اللصوص,inclusive,الصوص,صوص
42,47,AR1250,n,dmc,yes,اخلاق,inclusive,اخلاق,خلق
43,48,AR753,n,cds,no,القبائل العربية,inclusive,القباءل العربيه,قبءل عرب
44,49,AR1247,n,dmc,yes,حافز أخلاقي,inclusive,حافز اخلاقي,حفز خلق
45,50,AR418,n,cds,no,جاني,conservative,جاني,جني
46,51,AR1267,n,dmc,yes,شر,inclusive,شر,شر
47,52,AR359,n,qas,no,كذب,conservative,كذب,كذب
48,53,AR1876,n,an,no,وجه ساخرة,inclusive,وجه ساخره,وجه سخر
49,54,AR99,n,qas,no,الفضلات,inclusive,الفضلات,فضل
50,56,AR394,n,pa,yes,خادم فندق,inclusive,خادم فندق,خدم ندق
51,58,AR2537,n,an,no,علجوم,inclusive,علجوم,علجوم
52,59,AR332,n,an,no,تقع الرجل,conservative,تقع الرجل,تقع رجل
53,60,AR245,n,cds,no,مبغى,inclusive,مبغي,بغي
54,61,AR575,n,qas,no,الطبقة المتوسطة,inclusive,الطبقه المتوسطه,طبق توسط
55,62,AR1636,n,cds,no,الغطرسة,inclusive,الغطرسه,غطرس
56,63,AR501,n,qas,no,المتردد,conservative,المترد,ترد
57,64,AR518,n,pr,no,أبقار,inclusive,ابقار,بقر
58,65,AR2764,n,an,no,الأفاعي،,inclusive,الافاعي,فعي
59,66,AR1066,n,pa,yes,المتودد,inclusive,المتود,تود
60,67,AR275,n,ps,yes,البرابرة,conservative,البرابره,ربر
61,68,AR2523,n,qas,no,العظمة,inclusive,العظمه,عظم
62,69,AR611,n,svp,no,الاستعلاء,conservative,الاستعلاء,علء
63,70,AR1798,n,ddp,yes,تخلف عقلي،,inclusive,تخلف عقلي,خلف عقل
64,71,AR730,n,qas,no,رعاع,conservative,رعاع,رعع
65,72,AR2701,n,om,no,عبر اللباس,inclusive,عبر الباس,عبر باس
66,73,AR233,n,svp,no,الجشع,inclusive,الجشع,جشع
67,74,AR602,n,ps,yes,البلغار,inclusive,البلغار,لغر
68,75,AR563,n,qas,no,رجال اعمال,inclusive,رجال اعمال,رجل عمل
69,76,AR1372,n,dmc,yes,الأحمق,inclusive,الاحمق,حمق
70,77,AR195,n,an,no,غبي,conservative,غبي,غبي
71,78,AR2070,n,an,no,المكروبات,inclusive,المكروبات,كرب
72,79,AR524,n,pr,no,مواشي,inclusive,مواشي,وشي
73,80,AR2152,n,re,no,ستيلير,inclusive,ستيلير,يلر
74,81,AR983,n,an,no,التمساحيات,inclusive,التمساحيات,ساح
75,82,AR358,n,cds,no,باطل,inclusive,باطل,بطل
76,83,AR186,n,cds,no,دهاء,inclusive,دهاء,دهء
77,84,AR1962,n,qas,no,رعية,inclusive,رعيه,رعه
78,85,AR703,n,re,no,التشهير,inclusive,التشهير,شهر
79,86,AR272,n,ddp,yes,برابرة,conservative,برابره,ربر
80,87,AR1356,n,cds,no,غلاية من الأسماك,inclusive,غلايه الاسماك,غلي سمك
81,89,AR329,n,ps,yes,مرقس,conservative,مرقس,رقس
82,90,AR291,n,pa,yes,محامي,inclusive,محامي,حمي
83,91,AR2557,n,cds,no,المتعالم,conservative,المتعالم,عالم
84,94,AR502,n,qas,no,المتخبط,conservative,المتخبط,تخبط
85,95,AR36,n,or,no,عامل,conservative,عامل,عمل
86,96,AR445,n,qas,no,قطب,inclusive,قطب,قطب
87,97,AR239,n,svp,no,البخل,inclusive,البخل,بخل
88,98,AR692,n,cds,no,القميء,inclusive,القميء,قمء
89,99,AR2139,n,pr,no,اجتماعية,inclusive,اجتماعيه,اجتماعيه
90,100,AR1013,n,asf,no,كس,conservative,كس,كس
91,101,AR484,n,cds,no,يخطيء,inclusive,يخطيء,خطء
92,102,AR44,n,pa,yes,جامعي,inclusive,جامعي,جمع
93,103,AR621,n,cds,no,بوابة,conservative,بوابه,ببه
94,104,AR806,n,qas,no,والعوام,inclusive,والعوام,عوم
95,105,AR1891,n,cds,no,نيرد,conservative,نيرد,يرد
96,106,AR2315,v,qas,no,خرب,conservative,خرب,خرب
97,107,AR1349,n,pa,yes,بائعة سمك,inclusive,باءعه سمك,بءع سمك
98,108,AR1615,n,cds,no,أسقف,inclusive,اسقف,سقف
99,109,AR2727,n,an,no,الخدع,conservative,الخدع,خدع
100,110,AR883,n,cds,no,المراسل,inclusive,المراسل,رسل
101,111,AR1196,n,cds,no,طن,inclusive,طن,طن
102,112,AR656,n,ddp,yes,عان,inclusive,عان,عان
103,113,AR459,n,cds,no,موظر,conservative,موظر,وظر
104,114,AR1910,n,re,no,كوزا نوسترا,inclusive,كوزا نوسترا,كوز ستر
105,115,AR731,n,ddp,yes,عامة,conservative,عامه,عمه
106,116,AR1617,n,qas,no,منزل الرسام,inclusive,منزل الرسام,نزل رسم
107,117,AR156,n,ddp,yes,الحيوان,inclusive,الحيوان,حيو
108,118,AR1317,n,qas,no,فلاحون,inclusive,فلاحون,فلح
109,119,AR2293,n,an,no,الأفعى القرنية الأنف,inclusive,الافعي القرنيه الانف,افع قرن انف
110,120,AR684,n,dmc,yes,المنبوذون,inclusive,المنبوذون,نبذ
111,121,AR2194,n,ps,yes,لاتيني,inclusive,لاتيني,لتي
112,122,AR2272,n,ps,yes,فاندال,inclusive,فاندال,دال
113,123,AR1071,n,cds,no,خارج عن القانون,inclusive,خارج القانون,خرج قان
114,124,AR2496,n,re,no,اختطف,inclusive,اختطف,خطف
115,125,AR877,n,pa,yes,العريف,inclusive,العريف,عرف
116,126,AR1858,n,an,no,البعوضيات,inclusive,البعوضيات,بعض
117,127,AR2100,n,ddp,yes,غباء,inclusive,غباء,غبء
118,129,AR1784,n,svp,no,تحجر,conservative,تحجر,حجر
119,130,AR593,n,cds,no,الأنانية,inclusive,الانانيه,نني
